ID,gl_s_dga_ga_tot_n_none_c_c,gl_s_dga_ga_tot_s_none_c_c,gl_s_dga_gta_tot_n_none_c_c,gl_s_dga_gta_tot_s_none_c_c,gl_s_dga_rgla_tot_n_none_c_c,gl_s_dga_rgla_tot_s_none_c_c,gl_s_dga_gwe_tot_n_none_c_c,gl_s_dga_gwe_tot_s_none_c_c,gl_s_dga_gtwe_tot_n_none_c_c,gl_s_dga_gtwe_tot_s_none_c_c,gl_s_dga_rglwe_tot_n_none_c_c,gl_s_dga_rglwe_tot_s_none_c_c,gl_s_dga_galt_mean_n_none_c_c,gl_s_dga_galt_mean_s_none_c_c,gl_s_dga_gtalt_mean_n_none_c_c,gl_s_dga_gtalt_mean_s_none_c_c,gl_s_dga_rglalt_mean_n_none_c_c,gl_s_dga_rglalt_mean_s_none_c_c
8141001,0,688003,396999,818897,0,0,0,14540496,3741804,6917063,0,0,0,2854,3008,2847,0,0
8144001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8210003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8220001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8220008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8220009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8220010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8304001,2727091,2120253,5621,234186,0,0,84784124,66443211,21429,3246629,0,0,2298,2225,2183,2207,0,0
8307002,2727091,2120253,5621,234186,0,0,84784124,66443211,21429,3246629,0,0,2298,2225,2183,2207,0,0
8308000,641475,618751,139594,413617,0,0,14473969,12633974,1285321,4339531,0,0,2802,2592,2579,2757,0,0
8312000,4065181,2763154,388325,730433,0,0,114097130,79469972,4400634,8198563,0,0,2420,2309,2532,2530,0,0
8312001,4121260,6218731,388325,1167496,0,0,115362467,162682264,4400634,13654130,0,0,2425,2487,2532,2498,0,0
8313000,121106,52972,404663,22717,0,0,2732595,1271386,3566744,297252,0,0,2802,2666,2593,2411,0,0
8313001,4121260,6218731,388325,1167496,0,0,115362467,162682264,4400634,13654130,0,0,2425,2487,2532,2498,0,0
8316002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8317001,4242366,6271702,797822,1201842,0,0,118095062,163953651,7981555,14007324,0,0,2436,2489,2565,2496,0,0
8317002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8317004,4242366,6271702,797822,1201842,0,0,118095062,163953651,7981555,14007324,0,0,2436,2489,2565,2496,0,0
8317005,4242366,6271702,797822,1201842,0,0,118095062,163953651,7981555,14007324,0,0,2436,2489,2565,2496,0,0
8319001,4243858,6274148,798123,1202344,0,0,118136439,164016617,7984514,14013124,0,0,2436,2489,2565,2496,0,0
8323001,3207,5874738,0,111668,0,0,96422,232728586,0,762402,0,0,2797,2705,0,2570,0,0
8323002,3207,5874738,0,111668,0,0,96422,232728586,0,762402,0,0,2797,2705,0,2570,0,0
8324002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8330001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8332001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8334001,4247065,12148886,798123,1314012,0,0,118232861,396745203,7984514,14775526,0,0,2436,2594,2565,2502,0,0
8342001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8343001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8351001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8356001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8358001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8362001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8366002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8372002,0,0,0,20187,0,0,0,0,0,96380,0,0,0,0,0,2778,0,0
8376001,0,607,0,54227,0,0,0,26040,0,456373,0,0,0,2726,0,2264,0,0
8380001,2960161,1651073,692376,1173982,0,0,78334100,40986010,7526894,12574819,0,0,2854,2581,2722,2614,0,0
8380006,2960161,1651073,692376,1173982,0,0,78334100,40986010,7526894,12574819,0,0,2854,2581,2722,2614,0,0
8381003,2960161,1651073,692376,1173982,0,0,78334100,40986010,7526894,12574819,0,0,2854,2581,2722,2614,0,0
8383001,2960161,1651073,692376,1173982,0,0,78334100,40986010,7526894,12574819,0,0,2854,2581,2722,2614,0,0
8393002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8394001,7207227,13799959,1490499,2487994,0,0,196566961,437731213,15511408,27350344,0,0,2608,2592,2638,2555,0,0
8700002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8700003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8720001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
